"Overall","Pick","Round","Owner","Player","Position","Team","Rank","Time"
"81","9","7","Y.W.Snappers","","","","",""
"82","10","7","Sheriff","","","","",""
"83","11","7","Pete","","","","",""
"84","12","7","Riverside","","","","",""
"85","1","8","Riverside","","","","",""
"86","2","8","Pete","","","","",""
"87","3","8","Sheriff","","","","",""
"88","4","8","Y.W.Snappers","","","","",""
"89","5","8","Marinomania","","","","",""
"90","6","8","Stuart","","","","",""
"91","7","8","ATLien","","","","",""
"92","8","8","Darkside","","","","",""
"93","9","8","Jax","","","","",""
"94","10","8","Nathan","","","","",""
"95","11","8","Massachusetts 420","","","","",""
"96","12","8","Drew","","","","",""
"97","1","9","Drew","","","","",""
"98","2","9","Massachusetts 420","","","","",""
"99","3","9","Nathan","","","","",""
"100","4","9","Jax","","","","",""
"101","5","9","Darkside","","","","",""
"102","6","9","ATLien","","","","",""
"103","7","9","Stuart","","","","",""
"104","8","9","Marinomania","","","","",""
"105","9","9","Y.W.Snappers","","","","",""
"106","10","9","Sheriff","","","","",""
"107","11","9","Pete","","","","",""
"108","12","9","Riverside","","","","",""
"109","1","10","Riverside","","","","",""
"110","2","10","Pete","","","","",""
"111","3","10","Sheriff","","","","",""
"112","4","10","Y.W.Snappers","","","","",""
"113","5","10","Marinomania","","","","",""
"114","6","10","Stuart","","","","",""
"115","7","10","ATLien","","","","",""
"116","8","10","Darkside","","","","",""
"117","9","10","Jax","","","","",""
"118","10","10","Nathan","","","","",""
"119","11","10","Massachusetts 420","","","","",""
"120","12","10","Drew","","","","",""
"121","1","11","Drew","","","","",""
"122","2","11","Massachusetts 420","","","","",""
"123","3","11","Nathan","","","","",""
"124","4","11","Jax","","","","",""
"125","5","11","Darkside","","","","",""
"126","6","11","ATLien","","","","",""
"127","7","11","Stuart","","","","",""
"128","8","11","Marinomania","","","","",""
"129","9","11","Y.W.Snappers","","","","",""
"130","10","11","Sheriff","","","","",""
"131","11","11","Pete","","","","",""
"132","12","11","Riverside","","","","",""
"133","1","12","Riverside","","","","",""
"134","2","12","Pete","","","","",""
"135","3","12","Sheriff","","","","",""
"136","4","12","Y.W.Snappers","","","","",""
"137","5","12","Marinomania","","","","",""
"138","6","12","Stuart","","","","",""
"139","7","12","ATLien","","","","",""
"140","8","12","Darkside","","","","",""
"141","9","12","Jax","","","","",""
"142","10","12","Nathan","","","","",""
"143","11","12","Massachusetts 420","","","","",""
"144","12","12","Drew","","","","",""
"145","1","13","Drew","","","","",""
"146","2","13","Massachusetts 420","","","","",""
"147","3","13","Nathan","","","","",""
"148","4","13","Jax","","","","",""
"149","5","13","Darkside","","","","",""
"150","6","13","ATLien","","","","",""
"151","7","13","Stuart","","","","",""
"152","8","13","Marinomania","","","","",""
"153","9","13","Y.W.Snappers","","","","",""
"154","10","13","Sheriff","","","","",""
"155","11","13","Pete","","","","",""
"156","12","13","Riverside","","","","",""
"157","1","14","Riverside","","","","",""
"158","2","14","Pete","","","","",""
"159","3","14","Sheriff","","","","",""
"160","4","14","Y.W.Snappers","","","","",""
"161","5","14","Marinomania","","","","",""
"162","6","14","Stuart","","","","",""
"163","7","14","ATLien","","","","",""
"164","8","14","Darkside","","","","",""
"165","9","14","Jax","","","","",""
"166","10","14","Nathan","","","","",""
"167","11","14","Massachusetts 420","","","","",""
"168","12","14","Drew","","","","",""
"169","1","15","Drew","","","","",""
"170","2","15","Massachusetts 420","","","","",""
"171","3","15","Nathan","","","","",""
"172","4","15","Jax","","","","",""
"173","5","15","Darkside","","","","",""
"174","6","15","ATLien","","","","",""
"175","7","15","Stuart","","","","",""
"176","8","15","Marinomania","","","","",""
"177","9","15","Y.W.Snappers","","","","",""
"178","10","15","Sheriff","","","","",""
"179","11","15","Pete","","","","",""
"180","12","15","Riverside","","","","",""
"181","1","16","Riverside","","","","",""
"182","2","16","Pete","","","","",""
"183","3","16","Sheriff","","","","",""
"184","4","16","Y.W.Snappers","","","","",""
"185","5","16","Marinomania","","","","",""
"186","6","16","Stuart","","","","",""
"187","7","16","ATLien","","","","",""
"188","8","16","Darkside","","","","",""
"189","9","16","Jax","","","","",""
"190","10","16","Nathan","","","","",""
"191","11","16","Massachusetts 420","","","","",""
"192","12","16","Drew","","","","",""
